LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70",189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
LOR TA DualStylers Bouncy & Tender 150ml,3474630648371,Scanlon Hair,2.00,2,3.18,,34.95,,69.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA DualStylers Liss & Push Up 150ml,3474630648456,Scanlon Hair,3.00,3,3.18,,34.95,,104.85,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Fix Air Fix 400ml,3474630625082,Scanlon Hair,2.00,2,2.90,,31.95,,63.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Fix Anti-Frizz 250ml,3474630624979,Scanlon Hair,2.00,,0.00,,25.95,,51.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Fix Design 200ml,3474630613638,Scanlon Hair,6.00,2,2.36,,25.95,,155.70,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Fix Deviation Paste 100ml,3474630632196,Scanlon Hair,2.00,2,2.36,,25.95,,51.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Fix Web 150ml,3474630614727,Scanlon Hair,1.00,2,2.36,,25.95,,25.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA French Girl Messy Cliche 150ml,3474636370597,Scanlon Hair,0.00,1,3.18,,34.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Smooth Liss Control 150ml,3474630623026,Scanlon Hair,1.00,2,2.36,,25.95,,25.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Smooth Liss Control+ 50ml,3474630623095,Scanlon Hair,1.00,1,2.36,,25.95,,25.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Texture Morning After Dust 200ml,3474636108374,Scanlon Hair,0.00,1,2.36,,25.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Volume Architect 150ml,3474630631809,Scanlon Hair,3.00,3,2.36,,25.95,,77.85,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Volume Density Material 100ml,3474630618695,Scanlon Hair,2.00,2,2.36,10.67,25.95,21.34,51.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Volume Full Volume Extra 250ml,3474630614543,Scanlon Hair,1.00,2,2.36,,25.95,,25.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Volume Pli 190ml,3474630736221,Scanlon Hair,3.00,3,2.36,,25.95,,77.85,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Volume Super Dust 7g,3474630614611,Scanlon Hair,0.00,,2.36,,25.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers 60's Babe 250ml,3474636355969,Scanlon Hair,1.00,1,3.18,,34.95,,34.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers Beach Waves 150ml,3474630618435,Scanlon Hair,3.00,2,3.18,,34.95,,104.85,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers Crepage De Chignon 200ml,3474630631847,Scanlon Hair,2.00,2,3.18,,34.95,,69.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers Depolish 100ml,3474630618473,Scanlon Hair,3.00,3,3.18,14.18,34.95,42.54,104.85,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers Next Day Hair 250ml,3474630618329,Scanlon Hair,2.00,,3.18,,34.95,,69.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers Powder In Lotion 150ml,3474636501953,Scanlon Hair,1.00,1,3.18,,34.95,,34.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA WildStylers Scruff Me 150ml,3474630618213,Scanlon Hair,2.00,2,3.18,,34.95,,69.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
L'Oreal Serioxyl Shampoo for coloured hair,3474630643178,Scanlon Hair,3.00,,3.09,,34.00,,102.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
L'Oreal Vitamino A-OX Masque,3474636483662,Scanlon Hair,0.00,,3.09,,34.00,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
Makeup Eraser Mini 3 pack,858622006425,Scanlon Hair,1.00,,2.72,,29.95,,29.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
