Textbox3,Textbox56,Textbox61,Textbox64,Textbox21,Textbox79,Textbox84,Textbox87,Textbox90,Textbox22,Textbox93,Name1,Handle,StartingStock1,NewStock1,Return1,Transfer1,AdjustmentIncrease1,OtherIncrease1,InternalUse1,Damaged1,OutOfDate1,Sold1,Removed1,AdjustmentDecrease,Textbox24,OtherDecrease1,EndStock1,Textbox7,Textbox8,Textbox9,Textbox10,Textbox11,Textbox12,Textbox13,Textbox14,Textbox15,Textbox16,Textbox17,Textbox18,Textbox25,Textbox19,Textbox20
,,,,,,,,,,,MOR Treatment Light 100ml,7290011521998,-4,,,,10,,,,,2,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Treatment Light 25ml,7290011521653,-3,,,,5,,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Volume Conditioner 250ml,7290011521431,-1,,,,3,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Amped Up Fibrous Gel 150ml,9328514006396,-1,,,,,2,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Beard Elixir 30ml ,9328514010232,,,,,,2,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Blonde Conditioner 375ml,9328514006051,-1,,,,,2,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Blonde Plus Conditioner 375ml,,-1,,,,,3,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Blonde Plus Shampoo 375ml,9328514006082,-2,,,,,6,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Blonde Shampoo,,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Body N Shine Conditioner 375ml,9328514006136,-1,,,,,3,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Body N Shine Sea Salt Root Lift 250ml,9328514006785,-3,,,,,3,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Body N Shine Shampoo 375ml,,-6,,,,,8,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Body N Shine Styling Glaze 150ml,9328514006709,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Body N Shine Volumising Foam 270ml,9328514006419,-12,,,,,14,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Daily Detox Shampoo  250ml,9328514010102,-1,,,,,2,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Dandruff Control Shampoo 375ml,9328514006174,-4,,,,,7,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Done N Dirty 90g,9328514001353,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Done N Dusted 10g,9328514007218,-1,,,,,3,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Dry Klean Dry Shampoo 200ml,9328514006433,-14,,,,,20,,,,6,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Fixation Finishing Spray 100g,,-1,,,,,3,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Fixation Finishing Spray 576ml,9328514006426,3,,,,,3,,,,4,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK High Volume Texture Spray 171ml,9328514010133,-6,,,,,9,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Nak Hydrating Conditioner 100ml,,2,,,,,,,,,,,,,2,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Hydrating Conditioner 375ml,9328514006204,,,,2,,1,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Nak Hydrating Shampoo 100ml,,1,,,,,,,,,,,,,1,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
