"id","created_at","updated_at","supplier","barcode","product_range","display_name","order_name","supplier_sequence","discontinued","product_usage","current_max_stock","current_stock_available","current_cost_price","current_retail_price"
"125","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630462403","Inoa","Inoa 5,0","","02.01.15","0","Professional","1","2",\N,"0.00"
"126","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636448265","Inoa","Inoa 5,12","Inoa 5,12 Marron Resist","02.01.16","0","Professional","1","1",\N,"0.00"
"127","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636432721","Inoa","Inoa 5,15","Inoa 5,15 Marron Resist","02.01.17","0","Professional","1","1",\N,"0.00"
"128","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630446755","Inoa","Inoa 5,17","","02.01.18","0","Professional","1","1",\N,"0.00"
"129","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636401123","Inoa","Inoa 5,25","Inoa 5,25 Marron Resist","02.01.19","0","Professional","1","1",\N,"0.00"
"130","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630660540","Inoa","Inoa 5,3","","02.01.20","0","Professional","1","1",\N,"0.00"
"131","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630414044","Inoa","Inoa 5,32","","02.01.21","0","Professional","1","1",\N,"0.00"
"132","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630414143","Inoa","Inoa 5,35","","02.01.22","0","Professional","1","3",\N,"0.00"
"133","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630414242","Inoa","Inoa 5,4","","02.01.23","0","Professional","1","1",\N,"0.00"
"134","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630446854","Inoa","Inoa 5,45","","02.01.24","0","Professional","1","2",\N,"0.00"
"135","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636403837","Inoa","Inoa 5,5","Inoa 5,5 Marron Resist","02.01.25","0","Professional","1","1",\N,"0.00"
"136","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630447158","Inoa","Inoa 5,56","","","1","Professional","0","1",\N,"0.00"
"137","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","","Inoa","Inoa 5,62","","","1","Professional","0","0",\N,"0.00"
"138","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630540927","Inoa","Inoa 5,8","","02.01.26","0","Professional","1","1",\N,"0.00"
"139","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630414648","Inoa","Inoa 6","","02.01.27","0","Professional","3","3",\N,"0.00"
